Date,open,high,low,close,Volume,OpenInt
5/23/17,40.619,40.758,40.555,40.555,1637,0
5/24/17,40.56,40.738,40.411,40.415,3029,0
5/25/17,40.758,40.799,40.609,40.619,1676,0
5/30/17,40.5,40.648,40.5,40.648,997,0
5/31/17,40.788,40.788,40.645,40.733,1872,0
6/1/17,40.828,40.828,40.818,40.818,200,0
6/2/17,40.698,41.017,40.643,40.788,2488,0
6/5/17,40.958,40.981,40.838,40.981,1350,0
6/6/17,41.036,41.036,40.786,40.964,2148,0
6/12/17,40.908,40.908,40.623,40.868,6975,0
6/13/17,40.918,41.274,40.898,41.274,4894,0
6/14/17,41.007,41.192,40.828,40.848,8210,0
6/15/17,40.707,40.848,40.178,40.848,9472,0
6/16/17,40.908,41.005,40.619,40.858,14006,0
6/19/17,40.868,40.898,40.758,40.799,2214,0
6/20/17,40.838,40.839,40.768,40.788,3787,0
6/21/17,40.768,40.93,40.53,40.629,5271,0
6/22/17,40.942,40.942,40.55,40.55,2772,0
6/23/17,41.111,41.111,40.529,40.732,4146,0
6/26/17,40.662,40.902,40.62,40.792,6416,0
6/27/17,40.822,40.917,40.455,40.455,5435,0
6/28/17,40.672,41.119,40.509,40.652,7141,0
6/29/17,40.642,40.642,40.524,40.564,671,0
6/30/17,40.782,40.895,40.613,40.632,3720,0
7/3/17,40.504,41.111,40.017,40.506,6084,0
7/5/17,40.662,40.906,40.365,40.455,7539,0
7/6/17,40.375,40.465,40.131,40.334,8247,0
7/7/17,40.827,40.827,40.425,40.425,3026,0
7/10/17,40.622,40.672,40.504,40.504,1509,0
7/11/17,40.622,40.694,40.504,40.672,6990,0
7/12/17,40.494,41,40.494,40.574,4419,0
7/13/17,40.574,40.8,40.574,40.622,3670,0
7/14/17,40.772,40.932,40.772,40.932,1101,0
7/20/17,41.021,41.021,41.021,41.021,100,0
7/21/17,40.842,40.932,40.753,40.852,4137,0
7/24/17,41.24,41.24,40.948,41.233,505,0
7/25/17,41.23,41.341,41.23,41.341,1918,0
7/26/17,41.34,41.34,40.573,41.132,5824,0
7/27/17,41.294,41.689,41.294,41.689,2109,0
7/28/17,41.46,41.46,41.32,41.371,1507,0
7/31/17,41.28,41.407,41.002,41.24,3615,0
8/1/17,40.982,41.43,40.338,41.26,2590,0
8/2/17,41.161,41.25,41.161,41.19,1197,0
8/3/17,41.23,42.227,41.211,41.23,3355,0
8/4/17,41.33,41.5,41.109,41.31,7398,0
8/7/17,41.23,42.924,41.194,42.034,10579,0
8/8/17,41.23,42.52,41.23,41.363,6695,0
8/9/17,41.36,42.067,40.97,41.529,16598,0
8/10/17,41.848,42.139,41.4,41.579,4621,0
8/11/17,41.569,41.92,40.812,41.002,14440,0
8/14/17,41.42,41.46,40.563,41.41,6821,0
8/15/17,41.45,41.933,40.901,41.24,8384,0
8/16/17,41.3,41.471,40.932,41.26,6067,0
8/17/17,41.44,41.785,40.951,40.951,3006,0
8/18/17,40.966,41.514,40.831,41.211,8338,0
8/21/17,41.101,41.68,40.682,41.001,14023,0
8/22/17,41.091,41.201,41.083,41.175,5213,0
8/23/17,41.31,42.078,41.131,41.171,14685,0
8/24/17,41.37,41.929,41.138,41.27,7215,0
8/25/17,41.39,41.572,41.27,41.57,4539,0
8/28/17,41.36,41.56,41.111,41.419,2606,0
8/29/17,41.52,41.959,41.051,41.69,6017,0
8/31/17,41.31,41.39,41.31,41.39,200,0
9/1/17,42.318,42.318,41.71,41.861,2106,0
9/5/17,41.71,41.751,41.37,41.37,701,0
9/6/17,41.66,41.66,41.66,41.66,100,0
9/7/17,42.044,42.044,41.63,41.681,1185,0
9/8/17,41.73,41.73,41.73,41.73,872,0
9/11/17,41.211,41.211,41.211,41.211,100,0
9/13/17,41.8,41.8,40.262,41.66,2626,0
9/14/17,41.31,41.31,41.31,41.31,121,0
9/15/17,41.909,42.562,41.51,41.51,4409,0
9/18/17,41.65,41.65,41.56,41.56,1476,0
9/20/17,41.41,41.66,41.32,41.59,800,0
9/21/17,41.28,41.37,40.952,41.341,3702,0
9/26/17,42.329,42.329,41.34,41.38,2311,0
9/27/17,41.23,41.312,41.18,41.18,300,0
9/28/17,41.25,41.846,41.25,41.28,710,0
10/13/17,41.28,41.28,41.28,41.28,2001,0
10/16/17,41.33,41.343,41.26,41.26,2446,0
10/18/17,40.664,40.99,40.664,40.99,2100,0
10/19/17,40.95,40.99,40.8531,40.99,300,0
10/23/17,41.25,41.5448,41.13,41.201,800,0
10/24/17,41.975,41.975,41.29,41.29,1002,0
10/25/17,41.57,41.57,41.57,41.57,222,0
10/26/17,40.247,40.92,40.2,40.8409,3105,0
10/27/17,40.75,40.8,40.75,40.8,200,0
10/31/17,41.33,41.33,41.018,41.018,1100,0
11/1/17,41.2,42.61,41.1,41.64,3305,0
11/2/17,42.65,42.65,41.26,42.6,700,0
11/3/17,40.95,41.15,38.767,41.1,2300,0
11/6/17,41.07,42.68,40.989,41.48,701,0
11/7/17,41.99,41.99,41.34,41.34,300,0
11/8/17,41.34,43.74,41.34,43.1,904,0
11/9/17,41.89,43.235,41.45,41.45,1960,0
11/10/17,41.6,42.686,41.3,41.35,1210,0
